connecting to STM32F427II via SWD...
connected, starting RTT...
ADC channel: 14, raw value: 2514, converted value: 5004 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2514, converted value: 5004 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2514, converted value: 5004 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2521, converted value: 5017 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2512, converted value: 5000 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2520, converted value: 5015 
ADC channel: 9, raw value: 1234, converted value: 11934 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2512, converted value: 5000 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 14, raw value: 2520, converted value: 5015 
ADC channel: 9, raw value: 1237, converted value: 11963 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2515, converted value: 5006 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2513, converted value: 5002 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2515, converted value: 5006 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1238, converted value: 11972 
ADC channel: 14, raw value: 2511, converted value: 4998 
ADC channel: 9, raw value: 1234, converted value: 11934 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2513, converted value: 5002 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2517, converted value: 5009 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2521, converted value: 5017 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2516, converted value: 5008 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2511, converted value: 4998 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2516, converted value: 5008 
ADC channel: 9, raw value: 1234, converted value: 11934 
ADC channel: 14, raw value: 2516, converted value: 5008 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2516, converted value: 5008 
ADC channel: 9, raw value: 1234, converted value: 11934 
ADC channel: 14, raw value: 2518, converted value: 5011 
ADC channel: 9, raw value: 1234, converted value: 11934 
ADC channel: 14, raw value: 2520, converted value: 5015 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2516, converted value: 5008 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2511, converted value: 4998 
ADC channel: 9, raw value: 1234, converted value: 11934 
ADC channel: 14, raw value: 2518, converted value: 5011 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2514, converted value: 5004 
ADC channel: 9, raw value: 1235, converted value: 11943 
ADC channel: 14, raw value: 2516, converted value: 5008 
ADC channel: 9, raw value: 1238, converted value: 11972 
ADC channel: 14, raw value: 2518, converted value: 5011 
ADC channel: 9, raw value: 1236, converted value: 11953 
ADC channel: 14, raw value: 2513, converted value: 5002 
ADC channel: 9, raw value: 1235, converted value: 11943 
